 
                         TRANSACTIONS FOR SEASON THRU 6/1
 
           4/ 1  RELEASE     Adam                       KELLY,MIKE            
           4/ 1  TRADE       Mike C.                    TRAMMELL,BUBBA        Adam                       KELLY,MIKE          
           4/ 1  WAIVE       Griffey and Co.            MOHLER,MIKE           
           4/13  CLAIM                                                        Randy's Cavaliers          SANDERS,SCOTT       
           4/13  CLAIM                                                        Randy's Cavaliers          SPRINGER,DENNIS     
           4/13  CLAIM                                                        Steve's Q104 squad         ORTIZ,DAVID         
           4/13  CLAIM                                                        Steve's Q104 squad         RAPP,PAT            
           4/13  CLAIM                                                        Murderer's row             BLOWERS,MIKE        
           4/13  CLAIM                                                        Murderer's row             OCHOA,ALEX          
           4/13  CLAIM                                                        Murderer's row             SWIFT,BILL          
           4/13  CLAIM                                                        Pitchers 'R' Us            MAGADAN,DAVE        
           4/13  CLAIM                                                        Pitchers 'R' Us            MARTIN,NORBERTO     
           4/13  CLAIM                                                        New kid in town            CARUSO,MIKE         
           4/13  CLAIM                                                        New kid in town            TAYLOR,BILLY        
           4/13  CLAIM                                                        Mr. Lucky's Gang           BUTLER,RICH         
           4/13  CLAIM                                                        Blaise's Bunch             MORRIS,HAL          
           4/13  CLAIM                                                        Blaise's Bunch             POSADA,JORGE        
           4/13  CLAIM                                                        Wally Pipp Sucked Anyways  BURBA,DAVE          
           4/13  CLAIM                                                        Wally Pipp Sucked Anyways  TROMBLEY,MIKE       
           4/13  RESERVE     Wally Pipp Sucked Anyways  OGEA,CHAD             
           4/13  RESERVE     Blaise's Bunch             GREENE,TODD           
           4/13  RESERVE     Blaise's Bunch             DELGADO,CARLOS        
           4/13  RESERVE     Mr. Lucky's Gang           KELLY,MIKE            
           4/13  RESERVE     New kid in town            TEJADA,MIGUEL         
           4/13  WAIVE       New kid in town            GOODEN,DWIGHT         
           4/13  RESERVE     Pitchers 'R' Us            PHILLIPS,TONY         
           4/13  RESERVE     Murderer's row             CONINE,JEFF           
           4/13  RESERVE     Murderer's row             APPIER,KEVIN          
           4/13  RESERVE     Steve's Q104 squad         DAVIS,CHILI           
           4/13  RESERVE     Steve's Q104 squad         RIGBY,BRAD            
           4/13  RESERVE     Randy's Cavaliers          RIVERA,MARIANO        
           4/13  CLAIM                                                        Murderer's row             ABBOTT,KURT         
           4/20  CLAIM                                                        Murderer's row             EVANS,TOM           
           4/20  WAIVE       Murderer's row             BLOWERS,MIKE          
           4/20  CLAIM                                                        Murderer's row             SUTTON,LARRY        
           4/20  TRADE       Murderer's row             GILES,BRIANS.         Randy's Cavaliers          STEWART,SHANNON     
           4/20  CLAIM                                                        Griffey and Co.            SMITH,BOBBY         
           4/20  RESERVE     Griffey and Co.            BOGGS,WADE            
           4/20  WAIVE       Frozen Tundra              DRABEK,DOUG           
           4/20  CLAIM                                                        Frozen Tundra              GOODEN,DWIGHT       
           4/20  WAIVE       Wally Pipp Sucked Anyways  TROMBLEY,MIKE         
           4/20  ACTIVATE                                                     Wally Pipp Sucked Anyways  OGEA,CHAD           
           4/20  CLAIM                                                        Mr. Lucky's Gang           CORDERO,WIL         
           4/27  RESERVE     Randy's Cavaliers          PAVLIK,ROGER          
           4/27  WAIVE       Randy's Cavaliers          SPRINGER,DENNIS       
           4/27  ACTIVATE                                                     Randy's Cavaliers          RIVERA,MARIANO      
           4/27  CLAIM                                                        Randy's Cavaliers          EYRE,SCOTT          
           4/27  CLAIM                                                        Murderer's row             DRABEK,DOUG         
           4/27  CLAIM                                                        Murderer's row             RUSCH,GLENDON       
           4/27  RESERVE     Murderer's row             KAMIENIECKI,SCOTT     
           4/27  WAIVE       Murderer's row             MATHEWS,T.J.          
           4/27  RESERVE     New kid in town            BUHNER,JAY            
           4/27  CLAIM                                                        New kid in town            DUCEY,ROB           
           4/27  RESERVE     Mr. Lucky's Gang           CRUZ,DEIVI            
           4/27  WAIVE       Mr. Lucky's Gang           BUTLER,RICH           
           4/27  ACTIVATE                                                     Mr. Lucky's Gang           KELLY,MIKE          
           4/27  CLAIM                                                        Mr. Lucky's Gang           LEDESMA,AARON       
 
 
 
 
                         TRANSACTIONS FOR SEASON THRU 6/1
 
           4/27  RESERVE     Blaise's Bunch             MCDONALD,JASON        
           4/27  ACTIVATE                                                     Blaise's Bunch             DELGADO,CARLOS      
           4/27  WAIVE       New kid in town            SADLER,DONNIE         
           4/27  CLAIM                                                        New kid in town            LEMKE,MARK          
           4/27  WAIVE       Griffey and Co.            BALDWIN,JAMES         
           4/27  CLAIM                                                        Griffey and Co.            TROMBLEY,MIKE       
           5/ 4  RESERVE     Wally Pipp Sucked Anyways  MYERS,ROD             
           5/ 4  RESERVE     Wally Pipp Sucked Anyways  TRAMMELL,BUBBA        
           5/ 4  CLAIM                                                        Wally Pipp Sucked Anyways  ABBOTT,JEFF         
           5/ 4  CLAIM                                                        Wally Pipp Sucked Anyways  BUTLER,RICH         
           5/ 4  WAIVE       Murderer's row             SUTTON,LARRY          
           5/ 4  ACTIVATE                                                     Murderer's row             CONINE,JEFF         
           5/ 4  WAIVE       Mr. Lucky's Gang           LEDESMA,AARON         
           5/ 4  ACTIVATE                                                     Mr. Lucky's Gang           CRUZ,DEIVI          
           5/ 4  CLAIM                                                        Pitchers 'R' Us            BELL,DAVID(AL)      
           5/ 4  RESERVE     Steve's Q104 squad         NIXON,OTIS            
           5/ 4  CLAIM                                                        Steve's Q104 squad         MASHORE,DAMON       
           5/ 4  RESERVE     Griffey and Co.            MCDOWELL,JACK         
           5/ 4  CLAIM                                                        Griffey and Co.            LOWE,DEREK          
           5/ 4  RESERVE     Randy's Cavaliers          CASANOVA,RAUL         
           5/ 4  WAIVE       Randy's Cavaliers          FLORIE,BRYCE          
           5/ 4  WAIVE       Randy's Cavaliers          SANDERS,SCOTT         
           5/ 4  CLAIM                                                        Randy's Cavaliers          OQUIST,MIKE         
           5/ 4  CLAIM                                                        Randy's Cavaliers          SPRINGER,DENNIS     
           5/ 4  CLAIM                                                        Randy's Cavaliers          HATTEBERG,SCOTT     
           5/ 4  CLAIM                                                        Frozen Tundra              ENCARNACION,JUAN    
           5/ 4  RESERVE     Frozen Tundra              ROBERTS,BIP           
           5/11  RESERVE     Frozen Tundra              ENCARNACION,JUAN      
           5/11  ACTIVATE                                                     Frozen Tundra              ROBERTS,BIP         
           5/11  CLAIM                                                        Murderer's row             DYE,JERMAINE        
           5/11  WAIVE       Murderer's row             OCHOA,ALEX            
           5/11  WAIVE       Blaise's Bunch             MORRIS,HAL            
           5/11  ACTIVATE                                                     Blaise's Bunch             MCDONALD,JASON      
           5/11  WAIVE       Murderer's row             RUSCH,GLENDON         
           5/11  ACTIVATE                                                     Murderer's row             KAMIENIECKI,SCOTT   
           5/11  RESERVE     Pitchers 'R' Us            KARCHNER,MATT         
           5/11  CLAIM                                                        Pitchers 'R' Us            SIMAS,BILL          
           5/11  RESERVE     Griffey and Co.            BERROA,GERONIMO       
           5/11  CLAIM                                                        Griffey and Co.            WHITEN,MARK         
           5/18  RESERVE     Frozen Tundra              GOODEN,DWIGHT         
           5/18  CLAIM                                                        Frozen Tundra              MORGAN,MIKE         
           5/18  WAIVE       Murderer's row             HANEY,CHRIS           
           5/18  CLAIM                                                        Murderer's row             RUSCH,GLENDON       
           5/18  CLAIM                                                        Mr. Lucky's Gang           MORRIS,HAL          
           5/18  CLAIM                                                        Wally Pipp Sucked Anyways  AVERY,STEVE         
           5/18  RESERVE     Wally Pipp Sucked Anyways  ROSE,BRIAN            
           5/18  RESERVE     Griffey and Co.            SMITH,BOBBY           
           5/18  ACTIVATE                                                     Griffey and Co.            BOGGS,WADE          
           5/18  CLAIM                                                        Murderer's row             BLOWERS,MIKE        
           5/18  RESERVE     Murderer's row             EVANS,TOM             
           5/18  CLAIM                                                        Wally Pipp Sucked Anyways  BELLHORN,MARK       
           5/25  RESERVE     Griffey and Co.            TROMBLEY,MIKE         
           5/25  ACTIVATE                                                     Griffey and Co.            MCDOWELL,JACK       
           5/25  WAIVE       Pitchers 'R' Us            SIMAS,BILL            
           5/25  ACTIVATE                                                     Pitchers 'R' Us            KARCHNER,MATT       
           6/ 1  RESERVE     Murderer's row             KAMIENIECKI,SCOTT     
           6/ 1  CLAIM                                                        Murderer's row             CARPENTER,CHRIS     
           6/ 1  RESERVE     Frozen Tundra              ROBERTS,BIP           
 
 
 
                         TRANSACTIONS FOR SEASON THRU 6/1
 
           6/ 1  RESERVE     Blaise's Bunch             MCDONALD,JASON        
           6/ 1  CLAIM                                                        Blaise's Bunch             CHRISTENSON,RYAN    
           6/ 1  CLAIM                                                        Frozen Tundra              WINN,RANDY          
           6/ 1  CLAIM                                                        New kid in town            OCHOA,ALEX          
           6/ 1  WAIVE       New kid in town            SIERRA,RUBEN          
           6/ 1  WAIVE       New kid in town            LEMKE,MARK            
           6/ 1  ACTIVATE                                                     New kid in town            TEJADA,MIGUEL       
           6/ 1  TRADE       Steve's Q104 squad         SALMON,TIM            Murderer's row             CONINE,JEFF         
           6/ 1  TRADE       Steve's Q104 squad         ESCOBAR,KELVIM        Murderer's row             HERNANDEZ,ROBERTO   
           6/ 1  WAIVE       Griffey and Co.            SMITH,BOBBY           
           6/ 1  RESERVE     Murderer's row             KAMIENIECKI,SCOTT     
